6929	B00003CY51	0
7116	0767811070	1
14766	B0006A9GCM	2
16575	B00019G4VE	3
340	6302595916	4
1347	0780623746	5
6000	B000BR9SA0	6
10348	B000WTZ6SK	7
5084	B0009JE6G6	8
20	B002VPE1AW	9
1544	0792139771	10
3817	B000OYC7BW	11
1218	B00FRILRL6	12
1515	B00BEIYL6G	13
522	B000K7VHPU	14
61	B008JFUO36	15
4118	B00BEIYPN0	16
221	B0090SI56Y	17
53	B008JFUQZ2	18
875	B000069I1B	19
1552	6301967275	20
3753	B0029ZUQB2	21
5864	B00004UGAU	22
16577	B004RA7XX6	23
41394	B000I2IT9Y	24
33682	6305015090	25
63	B001IDZLCK	26
235	B001OQCV56	27
254	B001UV4XFG	28
2520	B006LL3WAM	29
2576	B002IKIHE6	30
3394	B000A6CLKQ	31
3603	B00005JLOS	32
6077	B000ADWDE8	33
15160	0792155203	34
14773	B000062XE1	35
16091	6304172761	36
26848	B000NDI4TS	37
3022	B00005JNNZ	38
3133	1417030976	39
18772	B000E0WJUK	40
733	6301976061	41
796	B004HW7JH4	42
914	B000H5U5EE	43
2039	6304179103	44
352	B00005JLF3	45
4586	B0056Q0V98	46
8	B009934S5M	47
16	B005LAIIMG	48
336	B00008W64E	49
546	B00CZB9BCU	50
1828	B00006JDVV	51
2352	6304457278	52
3024	0783229356	53
260	6301996135	54
15609	B001A8HTYG	55
3	B00FZM8Z7I	56
512	6304500831	57
17590	B00BLN4UQ0	58
13331	6305428344	59
11789	B005DTGAQQ	60
210	B001OQCV6A	61
301	B005LAII7G	62
17596	6304279000	63
358	0783222734	64
662	6300247171	65
701	6300248143	66
1740	6304844948	67
2024	0783223358	68
2142	6302561868	69
7120	B00002EQ0F	70
2993	1558804226	71
4993	0788815474	72
1645	0790735172	73
7729	6300250164	74
9780	6302469090	75
11521	6300250172	76
13327	6300250156	77
468	079074841X	78
2643	078062369X	79
2591	6305428115	80
11029	B00006ADG8	81
81	B008OGIPJA	82
1282	B001HN699A	83
7837	B000001A5E	84
11792	B000E6ESWG	85
1946	0792100085	86
422	B000BB1MHS	87
1167	B000GCFO08	88
243	B00005JNTI	89
973	1400323509	90
1069	6302516986	91
35884	B003EJO8TI	92
12	B0001VL0K2	93
5705	B000PFUAN2	94
8220	B002PI3A6Q	95
328	B00005JLET	96
774	B001FB55HQ	97
1394	B001W9EUC2	98
3027	B004I11VZ0	99
1709	B004EPZ0BG	100
22	B005LAIHXQ	101
424	B002K0WBXW	102
996	B002ZG989G	103
1271	B005LAII2Q	104
2444	B005LAIGLE	105
2664	078324021X	106
4733	B0002V7TZQ	107
7431	B000NJXG6I	108
8482	B0009K7QZ8	109
9587	B000GYI32M	110
257	B000NOIX48	111
467	B000ZN802W	112
7839	B000M4RG7E	113
7321	B00062DKO0	114
11274	B00DPKQVVE	115
19445	B0001EFTSS	116
1359	6301436547	117
2172	B000003KMM	118
14788	6302890276	119
54887	6300248186	120
2010	6301628454	121
3761	0783227949	122
5869	6301412729	123
33718	B00005R1MN	124
54888	6305875782	125
675	6301773551	126
203	B00003CXTF	127
8223	0790730979	128
28306	6303487696	129
453	B00004XPPG	130
739	B00003CXXU	131
3825	6302510023	132
12093	6301661753	133
3021	6300216632	134
3732	6300216845	135
7041	6301798058	136
18790	0800109686	137
107	B00005JNEI	138
2942	6301969588	139
2677	B0001CNRRU	140
1163	1559408758	141
1334	6305229449	142
2413	B00063UEFM	143
2824	0780627717	144
9786	B0001Z51LC	145
29951	B00004Z4TF	146
1637	630026923X	147
3370	6300183912	148
8765	6301231732	149
1212	B000059H6T	150
1272	B00000JMQC	151
5043	6303364772	152
33728	6303128807	153
1457	6300182320	154
19452	B00006LPEO	155
1704	B00006FHZD	156
3866	6300181456	157
2485	079074676X	158
20887	6302798442	159
22538	6302798434	160
45039	0783228325	161
1199	B00005JKTI	162
20130	6305177341	163
7521	6302353890	164
5583	B0000AVHAO	165
16109	6304018959	166
22539	B0001US600	167
2446	6300181278	168
1384	6301586042	169
45040	B0000CBL9N	170
4834	6304437617	171
9255	6302033020	172
20888	B000777HUW	173
6726	6301965728	174
17089	6302354145	175
366	B00005JMXX	176
1579	B00005JG70	177
10144	B00004W3HG	178
4691	6303471390	179
11037	0780021088	180
28322	B0006J2FRG	181
26882	B000EU1Q2C	182
13668	B000CNE08I	183
12392	6301986156	184
6727	6303038743	185
3609	079215455X	186
5267	0790739240	187
6728	B000006D1S	188
11799	B0006Z2NE0	189
18792	6302182859	190
8227	0783215096	191
10594	B00005JKSO	192
3577	B000F7CECK	193
17606	630296959X	194
8929	6303995713	195
19453	1573629723	196
10814	6300268535	197
4953	1572520922	198
23467	6301969278	199
20131	B000JLTS80	200
12986	B0001GNJF6	201
173	1419838830	202
2777	B000ATQYQU	203
15620	B0002RQ0YG	204
2283	B00005JP63	205
14403	6303918476	206
20132	6302801117	207
6632	630210176X	208
7734	6300268063	209
2027	B0002W4UDE	210
7735	B0000X2ESS	211
761	B00005JPAM	212
341	1417054069	213
12971	630236308X	214
